gemeindecode_cbs,gemeindename,longitude,latitude
0627,Waddinxveen,4.640704178741119,52.04239663408239
0629,Wassenaar,4.373167841466073,52.137590790036725
0632,Woerden,4.898887054715905,52.1069408856496
0637,Zoetermeer,4.489775221679629,52.06091031292864
0638,Zoeterwoude,4.513833721302214,52.11480566989046
0642,Zwijndrecht,4.6057976893714665,51.82184254025128
0654,Borsele,3.8129455806270047,51.44518341078251
0664,Goes,3.844880991172495,51.51516408927893
0668,West Maas en Waal,5.496598938358641,51.85162884145276
0677,Hulst,4.066254953283012,51.32185386548656
0678,Kapelle,3.9675735758589923,51.48477387105001
0687,Middelburg,3.6477182507015486,51.501814073627926
0703,Reimerswaal,4.137356740334452,51.437046835467456
0715,Terneuzen,3.84590866730507,51.28792029168858
0716,Tholen,4.132702503981343,51.57289669833119
0717,Veere,3.5569326077237617,51.537900542054764
0718,Vlissingen,3.6192341387201976,51.46018903465402
0736,De Ronde Venen,4.917327765945351,52.22634381666111
0737,Tytsjerksteradiel,5.96266545185344,53.19987241646422
0743,Asten,5.779206084871953,51.386415449294155
0744,Baarle-Nassau,4.893150819248308,51.439011721229065
0748,Bergen op Zoom,4.288292324187791,51.50347231409371
0753,Best,5.396525416060936,51.51411789285005
0755,Boekel,5.693724634597932,51.60667287951635
0757,Boxtel,5.324031807452042,51.58115717780259
0758,Breda,4.761429915273092,51.58513246225932
0762,Deurne,5.826931543402446,51.43623793602458
0765,Pekela,6.972969130356333,53.07059970522104
0766,Dongen,4.955445510659281,51.63588849182176
0770,Eersel,5.31461510108049,51.39652165221728
0772,Eindhoven,5.458528060308407,51.45016608404413
0777,Etten-Leur,4.644959260114164,51.578328011893184
0779,Geertruidenberg,4.881580925135184,51.6971437111825
0784,Gilze en Rijen,4.918582298960451,51.559595744169826
0785,Goirle,5.033071122393371,51.51227574095148
0794,Helmond,5.6569625791034355,51.476149617948394
0796,'s-Hertogenbosch,5.351939389975193,51.71679902413153
0797,Heusden,5.1602010924458925,51.6967710831705
0798,Hilvarenbeek,5.145455386847068,51.479531338784206
0809,Loon op Zand,5.047539900361311,51.64057192434664
0820,"Nuenen, Gerwen en Nederwetten",5.549460967053086,51.47860948991306
0823,Oirschot,5.289801505891958,51.492625037173745
0824,Oisterwijk,5.204495843785023,51.562478859063695
0826,Oosterhout,4.864062016125504,51.637782896028966
0828,Oss,5.5264050028839335,51.78154937392305
0840,Rucphen,4.558572885943721,51.52267794533156
0845,Sint-Michielsgestel,5.378141544400209,51.65707830954785
0847,Someren,5.6914037169417435,51.37875174843888
0848,Son en Breugel,5.4824621499858495,51.51637512739811
0851,Steenbergen,4.324923718122686,51.59735592260367
0852,Waterland,5.014608808133769,52.45227571047015
0855,Tilburg,5.077404520164436,51.583423000125244
0858,Valkenswaard,5.449247370685057,51.323767180448556
0861,Veldhoven,5.383210170112207,51.41185777483924
0865,Vught,5.242606905966098,51.6503591945782
0866,Waalre,5.464870497536466,51.387291238331464
0867,Waalwijk,5.0118203892787,51.692314188029506
0873,Woensdrecht,4.342256497981747,51.40829991354964
0879,Zundert,4.6426594155151095,51.47980652108759
0880,Wormerland,4.855124159497685,52.50200025670183
0882,Landgraaf,6.032989989200658,50.90643134708047
0888,Beek,5.809136543844367,50.930863909875455
0889,Beesel,6.068963108804878,51.26916637005242
0893,Bergen (L.),6.08930397905323,51.59194214032538
0899,Brunssum,5.9780011015271315,50.942941410714035
0907,Gennep,5.987098349700586,51.69928563218485
