income_mean,woz_mean,log_density,migration_per_1000,employment_rate,labor_participation_net,longitude,latitude,is_randstad,province_Flevoland,province_Fryslân,province_Gelderland,province_Groningen,province_Limburg,province_Noord-Brabant,province_Noord-Holland,province_Overijssel,province_Utrecht,province_Zeeland,province_Zuid-Holland
-1.1558202902900452,-1.5276977842807582,0.0016910884541863095,1.2106623225953559,-2.9927026801414893,-0.5937164427674438,5.79789534737774,53.1700763570618,0,False,True,False,False,False,False,False,False,False,False,False
-1.1558202902900452,-1.5276977842807582,0.0016910884541863095,1.2106623225953559,-2.9927026801414893,-0.5937164427674438,5.79789534737774,53.1700763570618,0,False,True,False,False,False,False,False,False,False,False,False
-0.7184523403730382,-0.7755843386233029,-1.4652766973152602,-0.6217794505605704,-0.1816860968705158,-0.8890455931065087,6.28299849106807,52.9823809251108,0,False,True,False,False,False,False,False,False,False,False,False
-0.7184523403730382,-0.7755843386233029,-1.4652766973152602,-0.6217794505605704,-0.1816860968705158,-0.8890455931065087,6.28299849106807,52.9823809251108,0,False,True,False,False,False,False,False,False,False,False,False
-0.7184523403730382,-0.7755843386233029,-1.4652766973152602,-0.6217794505605704,-0.1816860968705158,-0.8890455931065087,6.28299849106807,52.9823809251108,0,False,True,False,False,False,False,False,False,False,False,False
-0.7184523403730382,-0.7755843386233029,-1.4652766973152602,-0.6217794505605704,-0.1816860968705158,-0.8890455931065087,6.28299849106807,52.9823809251108,0,False,True,False,False,False,False,False,False,False,False,False
-0.7184523403730382,-0.7755843386233029,-1.4652766973152602,-0.6217794505605704,-0.1816860968705158,-0.8890455931065087,6.28299849106807,52.9823809251108,0,False,True,False,False,False,False,False,False,False,False,False
-0.3758474462713827,-0.47037888241448045,-1.3273464648995563,-0.535213031031633,0.2507779928634873,-0.03997428588169532,6.11284794486896,53.0491421115131,0,False,True,False,False,False,False,False,False,False,False,False
-0.3758474462713827,-0.47037888241448045,-1.3273464648995563,-0.535213031031633,0.2507779928634873,-0.03997428588169532,6.11284794486896,53.0491421115131,0,False,True,False,False,False,False,False,False,False,False,False
-0.3758474462713827,-0.47037888241448045,-1.3273464648995563,-0.535213031031633,0.2507779928634873,-0.03997428588169532,6.11284794486896,53.0491421115131,0,False,True,False,False,False,False,False,False,False,False,False
-0.3758474462713827,-0.47037888241448045,-1.3273464648995563,-0.535213031031633,0.2507779928634873,-0.03997428588169532,6.11284794486896,53.0491421115131,0,False,True,False,False,False,False,False,False,False,False,False
-0.3758474462713827,-0.47037888241448045,-1.3273464648995563,-0.535213031031633,0.2507779928634873,-0.03997428588169532,6.11284794486896,53.0491421115131,0,False,True,False,False,False,False,False,False,False,False,False
-1.0683467003066438,0.0964312505447613,-2.9921583607791087,-1.8733828299684914,0.46701003773047345,-0.5568002989750575,6.22119232119019,53.469886801184,0,False,True,False,False,False,False,False,False,False,False,False
-1.0683467003066438,0.0964312505447613,-2.9921583607791087,-1.8733828299684914,0.46701003773047345,-0.5568002989750575,6.22119232119019,53.469886801184,0,False,True,False,False,False,False,False,False,False,False,False
-1.0683467003066438,0.0964312505447613,-2.9921583607791087,-1.8733828299684914,0.46701003773047345,-0.5568002989750575,6.22119232119019,53.469886801184,0,False,True,False,False,False,False,False,False,False,False,False
-1.0683467003066438,0.0964312505447613,-2.9921583607791087,-1.8733828299684914,0.46701003773047345,-0.5568002989750575,6.22119232119019,53.469886801184,0,False,True,False,False,False,False,False,False,False,False,False
-1.0683467003066438,0.0964312505447613,-2.9921583607791087,-1.8733828299684914,0.46701003773047345,-0.5568002989750575,6.22119232119019,53.469886801184,0,False,True,False,False,False,False,False,False,False,False,False
-0.7548996695327888,-1.0698895999675246,-0.10466980212268036,0.740891437672257,-1.4790783660724942,-0.5937164427674438,6.03896114566325,53.1134118089407,0,False,True,False,False,False,False,False,False,False,False,False
-0.7548996695327888,-1.0698895999675246,-0.10466980212268036,0.740891437672257,-1.4790783660724942,-0.5937164427674438,6.03896114566325,53.1134118089407,0,False,True,False,False,False,False,False,False,False,False,False
-0.7548996695327888,-1.0698895999675246,-0.10466980212268036,0.740891437672257,-1.4790783660724942,-0.5937164427674438,6.03896114566325,53.1134118089407,0,False,True,False,False,False,False,False,False,False,False,False
-0.7548996695327888,-1.0698895999675246,-0.10466980212268036,0.740891437672257,-1.4790783660724942,-0.5937164427674438,6.03896114566325,53.1134118089407,0,False,True,False,False,False,False,False,False,False,False,False
-0.7548996695327888,-1.0698895999675246,-0.10466980212268036,0.740891437672257,-1.4790783660724942,-0.5937164427674438,6.03896114566325,53.1134118089407,0,False,True,False,False,False,False,False,False,False,False,False
-0.7840575328605892,0.5869400194517974,-2.1416522309096906,-1.343833616053038,0.6832420825974903,0.32918715204213705,5.32919449986441,53.3975726285556,0,False,True,False,False,False,False,False,False,False,False,False
-0.7840575328605892,0.5869400194517974,-2.1416522309096906,-1.343833616053038,0.6832420825974903,0.32918715204213705,5.32919449986441,53.3975726285556,0,False,True,False,False,False,False,False,False,False,False,False
-0.7840575328605892,0.5869400194517974,-2.1416522309096906,-1.343833616053038,0.6832420825974903,0.32918715204213705,5.32919449986441,53.3975726285556,0,False,True,False,False,False,False,False,False,False,False,False
-0.7840575328605892,0.5869400194517974,-2.1416522309096906,-1.343833616053038,0.6832420825974903,0.32918715204213705,5.32919449986441,53.3975726285556,0,False,True,False,False,False,False,False,False,False,False,False
-0.7840575328605892,0.5869400194517974,-2.1416522309096906,-1.343833616053038,0.6832420825974903,0.32918715204213705,5.32919449986441,53.3975726285556,0,False,True,False,False,False,False,False,False,False,False,False
-0.7621891353647389,0.1182316402739629,-2.714871001001257,-4.1621872973018075,0.2507779928634873,0.9936777403050342,5.04387905953546,53.2136875722427,0,False,True,False,False,False,False,False,False,False,False,False
-0.7621891353647389,0.1182316402739629,-2.714871001001257,-4.1621872973018075,0.2507779928634873,0.9936777403050342,5.04387905953546,53.2136875722427,0,False,True,False,False,False,False,False,False,False,False,False
-0.7621891353647389,0.1182316402739629,-2.714871001001257,-4.1621872973018075,0.2507779928634873,0.9936777403050342,5.04387905953546,53.2136875722427,0,False,True,False,False,False,False,False,False,False,False,False
-0.7621891353647389,0.1182316402739629,-2.714871001001257,-4.1621872973018075,0.2507779928634873,0.9936777403050342,5.04387905953546,53.2136875722427,0,False,True,False,False,False,False,False,False,False,False,False
-0.7621891353647389,0.1182316402739629,-2.714871001001257,-4.1621872973018075,0.2507779928634873,0.9936777403050342,5.04387905953546,53.2136875722427,0,False,True,False,False,False,False,False,False,False,False,False
-0.6747155453813375,-0.8082849232171053,-1.4328747434024296,-0.45902012935184633,-0.1816860968705158,-0.77829716172936,6.01777379776942,52.875741128481,0,False,True,False,False,False,False,False,False,False,False,False
-0.6747155453813375,-0.8082849232171053,-1.4328747434024296,-0.45902012935184633,-0.1816860968705158,-0.77829716172936,6.01777379776942,52.875741128481,0,False,True,False,False,False,False,False,False,False,False,False
-0.6747155453813375,-0.8082849232171053,-1.4328747434024296,-0.45902012935184633,-0.1816860968705158,-0.77829716172936,6.01777379776942,52.875741128481,0,False,True,False,False,False,False,False,False,False,False,False
-0.6747155453813375,-0.8082849232171053,-1.4328747434024296,-0.45902012935184633,-0.1816860968705158,-0.77829716172936,6.01777379776942,52.875741128481,0,False,True,False,False,False,False,False,False,False,False,False
-0.6747155453813375,-0.8082849232171053,-1.4328747434024296,-0.45902012935184633,-0.1816860968705158,-0.77829716172936,6.01777379776942,52.875741128481,0,False,True,False,False,False,False,False,False,False,False,False
-0.7840575328605892,-1.048089210238323,0.44499780846569686,-0.022135038441090167,-1.0466142763384911,-0.37221958001314126,6.55248281291724,53.0012878923859,0,False,False,False,False,False,False,False,False,False,False,False
-0.7840575328605892,-1.048089210238323,0.44499780846569686,-0.022135038441090167,-1.0466142763384911,-0.37221958001314126,6.55248281291724,53.0012878923859,0,False,False,False,False,False,False,False,False,False,False,False
-0.7840575328605892,-1.048089210238323,0.44499780846569686,-0.022135038441090167,-1.0466142763384911,-0.37221958001314126,6.55248281291724,53.0012878923859,0,False,False,False,False,False,False,False,False,False,False,False
-0.7840575328605892,-1.048089210238323,0.44499780846569686,-0.022135038441090167,-1.0466142763384911,-0.37221958001314126,6.55248281291724,53.0012878923859,0,False,False,False,False,False,False,False,False,False,False,False
-0.7840575328605892,-1.048089210238323,0.44499780846569686,-0.022135038441090167,-1.0466142763384911,-0.37221958001314126,6.55248281291724,53.0012878923859,0,False,False,False,False,False,False,False,False,False,False,False
-0.514347297078435,-0.9390872615923149,-1.424941633925819,-0.46618026364722087,0.2507779928634873,-1.4797038937846383,6.73591509765446,52.7403077856879,0,False,False,False,False,False,False,False,False,False,False,False
-0.514347297078435,-0.9390872615923149,-1.424941633925819,-0.46618026364722087,0.2507779928634873,-1.4797038937846383,6.73591509765446,52.7403077856879,0,False,False,False,False,False,False,False,False,False,False,False
-0.514347297078435,-0.9390872615923149,-1.424941633925819,-0.46618026364722087,0.2507779928634873,-1.4797038937846383,6.73591509765446,52.7403077856879,0,False,False,False,False,False,False,False,False,False,False,False
-0.514347297078435,-0.9390872615923149,-1.424941633925819,-0.46618026364722087,0.2507779928634873,-1.4797038937846383,6.73591509765446,52.7403077856879,0,False,False,False,False,False,False,False,False,False,False,False
